,pred,lat,lon
313,1,34.0111,-118.2663
314,0,33.9443,-118.2483
315,0,34.2465,-118.4762
316,1,34.2967,-118.423
317,0,33.9934,-118.272
318,1,34.0073,-118.3108
319,0,33.9401,-118.2805
320,1,34.0619,-118.2702
321,1,34.0583,-118.2378
322,0,34.1679,-118.5804
323,0,33.9405,-118.2426
324,0,34.2319,-118.4698
325,1,34.0189,-118.1933
326,1,33.9965,-118.2856
327,1,34.0183,-118.3182
328,0,34.281,-118.4103
329,0,34.001,-118.3138
330,1,34.0761,-118.3731
331,1,33.947,-118.2684
332,0,34.0037,-118.3193
333,1,34.2193,-118.4749
334,1,34.2128,-118.5579
335,1,34.2318,-118.4553
336,1,34.053,-118.2038
337,1,33.7352,-118.2879
338,0,34.0517,-118.3724
339,1,34.0227,-118.3351
340,0,34.201,-118.5977
341,0,34.2192,-118.5547
342,1,34.2074,-118.4794
343,0,34.0344,-118.23
344,1,34.244,-118.5583
345,1,34.0907,-118.3386
346,1,34.0707,-118.2795
347,1,33.9432,-118.3112
348,0,34.0953,-118.2279
349,0,34.011,-118.3351
350,1,34.0837,-118.3532
351,1,33.9698,-118.2856
352,0,33.9455,-118.3177
353,1,33.9433,-118.2541
354,0,33.9618,-118.309
355,1,34.0235,-118.279
356,0,34.0423,-118.2452
357,1,34.0655,-118.2022
358,1,33.9519,-118.2784
359,1,34.1994,-118.4662
360,0,33.9601,-118.2695
361,0,34.0529,-118.2776
362,1,34.0183,-118.3536
363,0,34.1567,-118.4771
364,0,34.0329,-118.3927
365,1,33.9515,-118.2447
366,0,34.2039,-118.4094
367,1,34.3232,-118.4817
368,0,33.9636,-118.3112
369,0,34.2282,-118.5885
370,1,34.0204,-118.33
371,0,34.04,-118.3016
372,0,34.0908,-118.3114
373,1,34.1866,-118.5559
374,1,34.0527,-118.3091
375,0,34.2594,-118.4543
376,0,34.0511,-118.2707
377,1,34.0979,-118.1839
378,0,34.2012,-118.4487
379,1,34.0749,-118.2868
380,1,33.9345,-118.2623
381,1,33.9511,-118.2739
382,1,34.023,-118.2777
383,1,33.9933,-118.4765
384,1,33.9765,-118.381
385,0,34.2216,-118.4488
386,1,34.203,-118.4989
387,1,33.9974,-118.2982
388,1,34.0316,-118.2657
389,1,34.071,-118.2759
390,1,33.9265,-118.2652
391,1,34.0818,-118.3574
392,0,34.0473,-118.2601
393,1,34.0057,-118.2652
394,1,34.0685,-118.201
395,1,34.0143,-118.2027
396,0,34.0536,-118.3539
397,0,34.09,-118.2813
398,0,33.991,-118.298
399,0,33.9903,-118.42
400,0,34.0446,-118.245
401,0,34.0049,-118.3302
402,0,34.2102,-118.5448
403,1,34.0435,-118.394
404,0,34.0573,-118.4247
405,1,33.9601,-118.2893
406,1,34.0439,-118.2514
407,0,33.9891,-118.3236
408,1,34.0455,-118.215
409,0,34.0338,-118.337
410,1,34.0383,-118.4324
411,0,34.1522,-118.3615
412,0,33.9824,-118.2801
413,1,33.9897,-118.3089
414,1,34.0637,-118.287
415,0,34.0124,-118.3351
416,0,33.9746,-118.2918
417,0,34.0423,-118.2452
418,0,34.0168,-118.2557
419,0,33.9312,-118.2308
420,1,33.9237,-118.2543
421,0,34.1034,-118.3333
422,0,33.931,-118.2916
423,1,34.2464,-118.4675
424,0,34.0299,-118.3564
425,0,34.0818,-118.3584
426,1,34.0037,-118.3002
427,1,33.9323,-118.2502
428,0,34.1192,-118.3004
429,1,34.1028,-118.3239
430,1,33.9746,-118.3024
431,0,34.26,-118.4305
432,1,33.9406,-118.2348
433,0,34.0493,-118.2786
434,1,34.0507,-118.2776
435,1,34.2355,-118.5361
436,0,34.239,-118.446
437,1,34.3075,-118.4303
438,0,33.9737,-118.2827
439,1,34.2956,-118.447
440,0,34.0904,-118.1739
441,1,34.0446,-118.245
442,0,34.057,-118.2691
443,0,34.0608,-118.2842
444,1,34.0048,-118.2652
445,1,34.0548,-118.282
446,0,33.9483,-118.2827
447,0,33.7874,-118.2518
448,0,34.0357,-118.2593
449,1,33.9884,-118.2958
450,0,34.0577,-118.2998
451,1,34.0111,-118.2777
452,1,34.0781,-118.3092
453,1,34.0836,-118.2917
454,0,34.0594,-118.2832
455,1,34.0998,-118.3324
456,0,34.0092,-118.2827
457,1,33.9942,-118.2871
458,1,34.0073,-118.298
459,0,34.2214,-118.4677
460,1,34.0011,-118.2783
461,1,34.0447,-118.2075
462,0,33.9368,-118.2519
463,0,34.0433,-118.2504
464,0,34.1053,-118.3321
465,0,34.0728,-118.2917
466,1,34.1016,-118.3387
467,1,33.798,-118.2604
468,0,34.0219,-118.2959
469,0,34.1758,-118.3866
470,0,34.0847,-118.3686
471,1,34.2633,-118.3008
472,1,33.9345,-118.2623
473,0,34.0412,-118.2474
474,1,33.9915,-118.3089
475,0,34.069,-118.3116
476,0,34.1859,-118.5011
477,0,34.0495,-118.4609
478,1,34.0691,-118.2645
479,1,34.0401,-118.2533
480,1,34.1681,-118.3773
481,1,34.0256,-118.3201
482,0,34.0594,-118.2644
483,0,34.2625,-118.5521
484,0,33.746,-118.2817
485,1,34.021,-118.3089
486,0,34.0325,-118.3509
487,1,33.9717,-118.2871
488,1,34.0887,-118.2845
489,0,33.9339,-118.2739
490,0,34.0709,-118.2941
491,1,33.9998,-118.2774
492,0,34.0268,-118.2808
493,1,34.2776,-118.41
494,1,34.0146,-118.3067
495,1,34.2609,-118.4586
496,1,34.2176,-118.606
